class,fs_id,url,username,name,license
/m/0dv3j,16584,https://cdn.freesound.org/previews/16/16584_177-hq.mp3,tedthetrumpet,violentBoilingLoop.aif,http://creativecommons.org/publicdomain/zero/1.0/
/m/0dv3j,217206,https://cdn.freesound.org/previews/217/217206_3785720-hq.mp3,13henand,bubbles fast.wav,http://creativecommons.org/publicdomain/zero/1.0/
/m/0dv3j,212610,https://cdn.freesound.org/previews/212/212610_1979597-hq.mp3,Taira Komori,Boiling_opening.mp3,https://creativecommons.org/licenses/by/4.0/
/m/0dv3j,351274,https://cdn.freesound.org/previews/351/351274_2247456-hq.mp3,Kinoton,Boiling Water,http://creativecommons.org/publicdomain/zero/1.0/
/m/0dv3j,371075,https://cdn.freesound.org/previews/371/371075_5302340-hq.mp3,Iamgiorgio,A4_nero_vrazei.mp3,http://creativecommons.org/publicdomain/zero/1.0/
/m/0dv3j,68741,https://cdn.freesound.org/previews/68/68741_734611-hq.mp3,mikaelfernstrom,Waterboiling.wav,https://creativecommons.org/licenses/by/4.0/
/m/0brhx,256370,https://cdn.freesound.org/previews/256/256370_4062622-hq.mp3,Jagadamba,Robotic Vocal saying - I want to dance - V2,https://creativecommons.org/licenses/by/4.0/
/m/0brhx,256368,https://cdn.freesound.org/previews/256/256368_4062622-hq.mp3,Jagadamba,Robotic Vocal saying - I want to dance,https://creativecommons.org/licenses/by/4.0/
/m/0brhx,256359,https://cdn.freesound.org/previews/256/256359_4062622-hq.mp3,Jagadamba,Robotic Vocal saying - Groovy,https://creativecommons.org/licenses/by/4.0/
/m/0brhx,2832,https://cdn.freesound.org/previews/2/2832_4948-hq.mp3,NoiseCollector,ttsahelpfire.wav,http://creativecommons.org/licenses/by/3.0/
/m/0316dw,348239,https://cdn.freesound.org/previews/348/348239_4067257-hq.mp3,newagesoup,MECH-KEYBOARD-01.wav,http://creativecommons.org/publicdomain/zero/1.0/
/m/0316dw,201893,https://cdn.freesound.org/previews/201/201893_121632-hq.mp3,Gutek,Two Typewriting Machines (background noise).mp3,http://creativecommons.org/publicdomain/zero/1.0/
/m/0316dw,324120,https://cdn.freesound.org/previews/324/324120_5530262-hq.mp3,mariamdm8, smartphone typing .wav,http://creativecommons.org/publicdomain/zero/1.0/
/m/0316dw,345955,https://cdn.freesound.org/previews/345/345955_191884-hq.mp3,knufds,Typewriter bell & carriage reset,http://creativecommons.org/publicdomain/zero/1.0/
/m/0316dw,145492,https://cdn.freesound.org/previews/145/145492_164940-hq.mp3,flarn2006,Typing loop,https://creativecommons.org/licenses/by/4.0/
/m/0316dw,329052,https://cdn.freesound.org/previews/329/329052_5284496-hq.mp3,ScouseMouseJB,Keyboard and mouse,https://creativecommons.org/licenses/by/4.0/
/m/0316dw,348240,https://cdn.freesound.org/previews/348/348240_4067257-hq.mp3,newagesoup,CASHIER-REGISTER-KEYBOARD-BEEP-CALC.wav,http://creativecommons.org/publicdomain/zero/1.0/
/m/0316dw,332179,https://cdn.freesound.org/previews/332/332179_3482490-hq.mp3,pfranzen,Typing super fast on a computer keyboard,https://creativecommons.org/licenses/by/4.0/
/m/018vs,9201,https://cdn.freesound.org/previews/9/9201_18811-hq.mp3,harri,bassline_oh.wav,https://creativecommons.org/licenses/by/4.0/
/m/018vs,31673,https://cdn.freesound.org/previews/31/31673_128404-hq.mp3,junggle,bass_loop_09.wav,https://creativecommons.org/licenses/by/4.0/
/m/018vs,40289,https://cdn.freesound.org/previews/40/40289_417293-hq.mp3,hubertmichel,Basse 40.wav,http://creativecommons.org/licenses/by/3.0/
/m/018vs,239861,https://cdn.freesound.org/previews/239/239861_529852-hq.mp3,quartertone,"BsGr(14f,4s)[42]~v04.wav",https://creativecommons.org/licenses/by/4.0/
/m/018vs,162941,https://cdn.freesound.org/previews/162/162941_1883026-hq.mp3,Project16,C1(pp).wav,http://creativecommons.org/licenses/by/3.0/
/m/018vs,162936,https://cdn.freesound.org/previews/162/162936_1883026-hq.mp3,Project16,A#1(ff).wav,http://creativecommons.org/licenses/by/3.0/
/m/0bm02,38903,https://cdn.freesound.org/previews/38/38903_14771-hq.mp3,sandyrb,MDVP KICK 003.wav,https://creativecommons.org/licenses/by/4.0/
/m/0bm02,78815,https://cdn.freesound.org/previews/78/78815_117392-hq.mp3,matiasromero,kick-seco2-waldir.wav,http://creativecommons.org/publicdomain/zero/1.0/
